# UTF-8 source catalog for Moonshine Japanese presentation.
# Format: English key<TAB>Japanese CP932-rendered text.
# Controller glyphs use {A}, {B}, {X}, {Y}, {L}, {R}, {Z}, {C},
# {AMP}, {SLASH}, {LEFT}, {UP}, {RIGHT}, {DOWN}, and {SHINE}.

# Core navigation, tabs, and shared values.
susamune	Moonshine
Gelato 5	マンマ5
Gelato 6	マンマ6
Gelato 7	マンマ7
Gelato 8	マンマ8
Gelato Hidden	マンマ隠し
Gelato 100 (E3)	マンマ100枚（E3）
Pinna 1	ピンナ1
Pinna 2 (Full)	ピンナ2（通し）
Pinna 2 (Secret)	ピンナ2（ヒミツ）
Pinna 2 Reds	ピンナ2 赤コイン
Pinna 3	ピンナ3
Pinna 4	ピンナ4
Pinna 5	ピンナ5
Pinna 6 (Full)	ピンナ6（通し）
Pinna Park EYG	ピンナ EYG
Pinna 6 (Secret)	ピンナ6（ヒミツ）
Pinna 6 Reds	ピンナ6 赤コイン
Pinna 7	ピンナ7
Pinna 8	ピンナ8
Pinna 100 (E8)	ピンナ100枚（E8）
Sirena 1	シレナ1
Sirena 2 (Full)	シレナ2（通し）
Sirena 2 (Secret)	シレナ2（ヒミツ）
Sirena 2 Reds	シレナ2 赤コイン
Sirena 3	シレナ3
Sirena 4 (Full)	シレナ4（通し）
Sirena 4 (Secret)	シレナ4（ヒミツ）
Sirena 4 Reds	シレナ4 赤コイン
Sirena 5	シレナ5
Sirena 6	シレナ6
Sirena 7	シレナ7
Sirena 8	シレナ8
Sirena 100 (E7)	シレナ100枚（E7）
Noki 1	マーレ1
Noki 2	マーレ2
Noki 3	マーレ3
Noki 4	マーレ4
Noki 4 (Eel Only)	マーレ4（ウナギのみ）
Noki 5	マーレ5
Noki 6 (Full)	マーレ6（通し）
Noki 6 (Secret)	マーレ6（ヒミツ）
Noki 6 Reds	マーレ6 赤コイン
Noki 7	マーレ7
Noki 8	マーレ8
Noki Hidden	マーレ隠し
Noki 100 (E2)	マーレ100枚（E2）
Pianta 1	モンテ1
Pianta 2	モンテ2
Pianta 3	モンテ3
Pianta 4	モンテ4
Pianta 5 (Full)	モンテ5（通し）
Pianta 5 (Secret)	モンテ5（ヒミツ）
Pianta 5 Reds	モンテ5 赤コイン
Pianta 6	モンテ6
Pianta 7	モンテ7
Pianta 8	モンテ8
Pianta Hidden	モンテ隠し
Pianta 100 (E5)	モンテ100枚（E5）
Airstrip 1	エアポート1
Airstrip Reds	エアポート赤コイン
Corona Mountain	コロナマウンテン
Bowser	クッパ
Delfino Cop Secret	警察署のヒミツ
Pachinko	パチンコ
Delfino Slide	ドルピックスライダー
Lily Pad	どくの川
Grass Secret	草原
Lighthouse	灯台
Box Game 1	木箱ゲーム1
Box Game 2	木箱ゲーム2
Left Bell	西のベル
Right Bell	東のベル
Chuckster	モンテ投げ
Shine Gate	シャインゲート
Delfino 100	ドルピック100枚
Underbell	鐘の下
Beach Shine	ビーチのシャイン
Gold Bird	金の鳥
Bianco Plant	大王像のドロドロパックン
Delfino Shadow Mario	ニセマリオ追跡
Travel Skip	トラベルスキップ
Gelato Plant	灯台のドロドロパックン
Pianta Enter	モンテ突入
Honey Skip	ハニースキップ
Ricco Enter	リコ突入
Bianco II Enter	ビアンコII突入
Sirena Enter	シレナ突入
Noki Enter	マーレ突入
Corona Enter	コロナ突入
Ricco 2 Reds	リコ2 赤コイン
Gelato 1 Secret	マンマ1 ヒミツ
Bianco 100 (E2)	ビアンコ100枚（E2）

# Records: categories, tiers, screens, statistics, and generated copy.
Times	タイム
Challenges	チャレンジ
Course Mastery	コース習熟
Streaks	連続記録
Special	スペシャル
Bronze	ブロンズ
Silver	シルバー
Gold	ゴールド
Diamond	ダイヤモンド
Demon	デーモン
Frontier	フロンティア
ACHIEVEMENT UNLOCKED	実績を解除しました
Session only (Dolphin alpha)	今回の起動中のみ（Dolphin）
Progress unavailable	記録を利用できません
Progress is read-only	記録は読込専用です
Progress save error	記録の保存に失敗しました
Saving progress...	記録を保存中...
Progress not checkpointed	記録はまだ保存されていません
Progress saved	記録を保存しました
Achievements  >	実績  ＞
Statistics overview  >	統計の概要  ＞
Worlds  >	ワールド  ＞
Region	リージョン
Unlock popup & chime	解除ポップアップ・チャイム
Achievements	実績
UNLOCKED	解除済み
LOCKED	未解除
Unnamed achievement	名称なしの実績
Description unavailable.	説明を利用できません。
Time played	プレイ時間
Attempts	挑戦回数
ILs finished	IL完走数
PBs earned	PB更新数
Deaths	ミス回数
Creation time	作成画面の時間
Ghosts saved	ゴースト保存数
Ghost time saved	ゴースト保存時間
Statistics	統計
Worlds	ワールド
World	ワールド
Time	時間
Finishes	完走数
Success rate	成功率
Any percent PBs	Any％ PB
All-IL PBs	全IL PB
Profile	プロファイル
%lu (%lu pct)	%lu（%lu％）
Incomplete %lu {SLASH} %lu	未完了 %lu {SLASH} %lu
%s - %s	%s ― %s
%lu pct	%lu％
PBs: %s - %s	PB：%s ― %s

# Achievement names: original roster, release additions, and ghost series.
Hero of the Village	村のヒーロー
Scrooge	守銭奴
Surfin' Delfino	ドルピック・サーフィン
Sniper	スナイパー
Early Cycle	早回し
Spring Clipper	バネ抜け名人
Yoshi Expert	ヨッシー博士
Waking Snoozakoopas	お目覚めノコノコ
Fluff Freighter	綿毛の運び屋
Bottle Diver	ビンの中のダイバー
Green Demon	緑の悪魔
Expert Spider Bouncer	アメンボ跳びの達人
Coconut King	ヤシの実王
Professional Diver	プロダイバー
Rocket Engineer	ロケット技師
Rope Dancer	ロープダンサー
Bowser Bombardier	クッパ砲撃手
The Classic	王道
Murderer	殺し屋
Speedy Coins	高速コイン集め
Ecuadorian Islands	エクアドル諸島
Boo Bouncer	テレサバウンサー
Beach Cleaner	ビーチ清掃員
Boat Master	船長
Plungelo Plucker	チュウハナ抜き
Dentist	歯医者
Shell Shocker	甲羅の衝撃
Tiebreaker	決着
Ninja Warrior	忍者戦士
Platform Rider	足場乗り
Oh My God	なんてこった
Hot Tub	露天風呂
The Long Way Up	長い登り道
Exterminator	駆除業者
Fish Finder	魚群探知機
NoHover	ホバー禁止
Mushroom Trespassing	キノコ不法侵入
Mashathon	連打マラソン
Sand in the Hourglass	砂時計の砂
I Just Landed	着地したばかり
Red Tide	赤い波
Hillside Hustle	丘の上の大騒ぎ
Then It's War!	ならば戦争だ！
Casino Royale	カジノ・ロワイヤル
They See Me Rollin' (Out)	転がって脱出
Ghostly Reds	幽霊赤コイン
Where There Is a Will There Is a Way	意志あるところに道あり
Chuckster Change	モンテ投げのお釣り
Wiggler Wrestling	ハナチャン相撲
No Kidding	冗談じゃない
Tower Titan	塔の巨人
Just Fishin'	釣りだけさ
Village Life	村暮らし
There it is!	あった！
Captain Mario	マリオ船長
Plant Punisher	植物退治
Swimming with the fishes	魚と泳ぐ
Where are they?	どこにいる？
Birds and Bees	鳥とハチ
Squeaky Clean	ピカピカ
Red Freak	赤コイン狂
My hat?!	ぼくの帽子？！
Traumatic Memories	トラウマ再来
Flipping Insane	ひっくり返るほど狂気
Scrounger	拾い屋
Nutty	ナッツ！
A boat a skip and a hop	船とスキップとひとっ飛び
Make or Break	一か八か
Might makes right	力こそ正義
Dootsters?	ドゥートスターズ？
That bird that I hate	大嫌いなあの鳥
Lord of the Sands	砂の王
High King	高き王
Getting There!	いい調子！
Chuckster Chatter	モンテ投げ談義
Pegged	命中
Disturbed the Family Vacation	家族旅行を台無しに
Powerwash Simulator	高圧洗浄シミュレーター
Electrokoopas Are Heartless	デンノコノコは無慈悲
Clockwork Carousel	時計仕掛けの回転木馬
Five Alarm Fire	五段階警報
Jonathan the Tortoise	カメのジョナサン
Oral Surgeon	口腔外科医
Dirty Work	汚れ仕事
Tower Defense	タワーディフェンス
Loaded Dice	イカサマサイコロ
Shell Game	甲羅ゲーム
No Vacancy	満室
Deep End Dividend	深場の配当
Run Killer Conquered	ランキラー克服
Frequent Flyer	常連飛行客
Sandcastle Siege	砂の城包囲戦
Harbor Habit	港通い
Dog Trainer	ワンワン調教師
Casino Circuit	カジノ周回
I Didn't Hear No Bell	まだ終わっちゃいない
Mole Mangler	チョロプー潰し
Clockwork Crisis	時計仕掛けの危機
Lord of the Nut	ナッツの王
Grinder	努力家
Full Run	フルラン
Completionist	完全主義者
Grand Tour	グランドツアー
Bob Ross	ボブ・ロス
Serious Commitment	本気の覚悟
Deja Vu	デジャヴ
Well Rounded	万能選手
Game Over	ゲームオーバー
All-Rounder	オールラウンダー
Touch Grass?	外に出たら？
TASbot	TASボット
Trial By Sunshine	サンシャインの試練
Ghastly!	不気味！
Spectral!	幽玄！
Specular!	スペキュラー！
Ectoplasmic!	エクトプラズム！
Wraithlike!	レイス級！
Phantasmal!	幻影！
Beginnings!	入門！
Specialist	スペシャリスト
Graduate	卒業
Master	マスター
%s Enthusiast	%s愛好家

# Achievement descriptions. Runtime substitutions retain their source
# printf arguments and QFT/IGT terminology used by the speedrun timers.
%s: under %s QFT without Yoshi.	%s：ヨッシーなしで%s QFT未満。
%s: %s or more remaining on IGT.	%s：IGT残り%s以上。
%s: under %s QFT.	%s：%s QFT未満。
%s Any percent: set every IL PB.	%s Any％：全ILでPBを出す。
%s Any percent PB sum: under %s.	%s Any％PB合計：%s未満。
%s: set every IL PB.	%s：全ILでPBを出す。
%s all-IL PB sum: under %s.	%s 全IL PB合計：%s未満。
%s: %u finishes in a row.	%s：%u回連続完走。
%s: %s IGT, %u in a row.	%s：IGT %sを%u回連続。
%s: %s or better, %u in a row.	%s：%s以内を%u回連続。
Spend 15 total hours in %s.	%sで合計15時間プレイ。
Finish Pinna EYG.	ピンナEYGをクリア。
Finish Gelato 8.	マンマ8をクリア。
Swim alive in Corona.	コロナを生存して泳ぎ切る。
Shine Gate Shine without Rocket, Turbo, or Yoshi.	ロケット、ターボ、ヨッシーなしでシャインゲート。
Kill all Cataquacks in Gelato 8.	マンマ8の全ポイハナを倒す。
Beat Noki 8 without Hover.	ホバーなしでマーレ8をクリア。
Get Gelato 8's Shine from Gelato 1 without Hover or Yoshi.	ホバーとヨッシーなしでマンマ1からマンマ8のシャイン。
Enter Pianta 5 Secret without Hover or Yoshi.	ホバーとヨッシーなしでモンテ5のヒミツへ。
Pinna 6 Secret: below Y800 to Y2700 within 15s.	ピンナ6のヒミツ：15秒以内にY座標800からY座標2700へ。
Start 2,000 total IL attempts.	IL挑戦を合計2,000回開始する。
PB every Any percent IL on one profile.	1つのプロファイルでAny％全ILにPB。
PB every IL on one profile.	1つのプロファイルで全ILにPB。
PB every world on one profile.	1つのプロファイルで全ワールドにPB。
Spend two hours in Creation menus.	作成メニューで2時間過ごす。
Spend 30 hours in one world.	1ワールドで30時間過ごす。
Exactly tie an IL PB's QFT.	IL PBと同じQFTを出す。
Unlock one in every non-Special category.	スペシャル以外の全カテゴリで1つ解除。
Die 100 times.	100回ミスする。
Start 2,000 attempts per world.	各ワールドで2,000回挑戦する。
Play Moonshine for 1,000 hours.	Moonshineを1,000時間プレイする。
Bianco 3 Secret: exact 13.80 QFT benchmark.	ビアンコ3のヒミツでQFT 13.80ちょうど。
Unlock the original Bronze-through-Demon roster.	初期のブロンズからデーモンまで全解除。
Save 1 ghost.	ゴーストを1体保存する。
Save 5 minutes of ghosts.	ゴーストを合計5分保存する。
Save 25 ghosts.	ゴーストを25体保存する。
Save 1 hour of ghosts.	ゴーストを合計1時間保存する。
Save 250 ghosts lifetime.	通算250体のゴーストを保存する。
Save over 50 hours of ghosts lifetime.	ゴーストを通算50時間超保存する。

# FOXTROT additions and approved Task Edition wording amendments.
Disable 3rd Chomlet aggro	キャンキャン3体目無反応
Yoshi{SLASH}nozzle save prompt	ヨッシー・ノズルでセーブテキストの表示
Quick	クイック
Runs	走行
System	システム
V2.3.0 Frame By Frame	V2.3.0 Frame By Frame
Guide	使い方
Frame advance	コマ送り
Free camera	フリーカメラ
Freecam	フリーカメラ
Input replay	入力再生
Savestates	ステート
SD savestates	SDステート
Save to	保存先
Load from	読込元
State %u	ステート %u
State %d	ステート %d
State %d (empty)	ステート %d（空き）
Save state	ステート保存
Load state	ステート読込
Save to SD	SDに保存
Browse SD states	SDステート一覧
Cycle save slot	保存先を切り替え
Cycle load slot	読込元を切り替え
Cycle state slots	ステート枠を切り替え
Save slot	保存先
Load slot	読込元
Load selected state	選択したステートを読込
Delete selected state	選択したステートを削除
Rename	名前変更
Import	取り込み
Export	書き出し
Pause	一時停止
Resume	再開
Step	1コマ進む
Paused	一時停止中
Running	動作中
Held	保持中
Buffered	待機中
Waiting	待機中
Camera	カメラ
Camera speed	カメラ速度
Camera input	カメラ操作
Mario input	マリオ操作
Camera boost	カメラ加速
Record input	入力を録画
Play input	入力を再生
Stop input	入力再生を停止
Clear input	入力を消去
Start recording	録画開始
Stop recording	録画停止
Start replay	再生開始
Stop replay	再生停止
Recording	録画中
Replaying	再生中
Both ghosts	両方のゴースト
Both inputs	両方のゴースト
Save new ghost	新しいゴーストを保存
Personal page	自分のゴースト
Imported page	取り込んだゴースト
Layout editor	配置エディター
Timers	タイマー
Controller inputs	入力表示
Native HUD colours	ゲーム内HUDの色
Practice feedback	練習用表示
Menu and notifications	メニューと通知
Health counter colour	体力メーターの色
Underwater air colour	水中の空気メーターの色
Recent IL results	最近のIL結果
Mario appearance	マリオの見た目
Mario colours	マリオの色
Mario colors	マリオの色
FLUDD colours	ポンプの色
FLUDD colors	ポンプの色
Water colours	水の色
Water colors	水の色
Shirt	シャツ
Overalls	オーバーオール
Gloves	手袋
Shoes	靴
Sunglasses	サングラス
Sunshine shirt	アロハシャツ
Original	オリジナル
All parts	全部位
Appearance	見た目
Colour	色
Color	色
Colours	色
Horizontal gap	横の間隔
Row gap	行の間隔
Fields per row	1行の項目数
Compact	詰める
Stable	固定幅
Auto	自動
PB Safety	PB登録の条件
PRACTICE CODES	練習用コード
ASSISTED RNG	パターン固定
CORE	基本
NATIVE TIMER	ゲーム内タイマー
MOVEMENT	アクション
TIMER DISPLAY	タイマー表示
DURATION	表示時間
COINS AND OBJECTS	コインとオブジェクト
FRAME AND CAMERA	コマ送りとカメラ
SAVESTATES	ステート
MENU	メニュー
POSITION	位置
WARPS AND RESTARTS	ワープとやり直し
Your favourite settings in one quick list.	お気に入りの設定をまとめて表示します。
Core gameplay rules, skips and unlocks.	ゲームの設定、スキップ、解放機能です。
Timer visibility, splits and QFT freezes.	タイマー表示、区間タイム、QFTの停止を設定します。
Repeatable boss, object and course outcomes.	ボスやオブジェクトのパターンを固定します。
Movement feedback and practice overlays.	アクションの結果や練習用の情報を表示します。
Mario, world and audio cosmetics.	マリオ、ステージ、音声の見た目や効果を変更します。
Savestate behaviour and feedback.	ステートの動作と通知を設定します。
Practice helpers, counters and menu rules.	練習補助、カウンター、メニューを設定します。
Find and fix every setting that can stop an IL PB.	ILのPB登録を妨げる設定を確認できます。
Changes this option for practice or presentation.	練習や表示に関する設定を変更します。
Shows route splits during supported ILs.	対応するILで区間タイムを表示します。
Show recorded inputs; Both ghosts compares both tracks in Watch2.	録画した入力を表示します。「両方」で2体を比較できます。
Shows or hides the selected ghost while racing or watching.	レース中や観賞中のゴースト表示を切り替えます。
Changes how transparent the ghost looks in the stage.	ゴーストの透明度を変更します。
Save your latest recording as a new personal ghost.	直前の録画を新しいゴーストとして保存します。
Finds .smsghost files copied into the import folder.	取り込みフォルダーの.smsghostファイルを検索します。
Moves, resizes and recolours the compact QFT display.	QFT表示の位置、大きさ、色を変更します。
Full position, size, opacity and colour controls for the native timer.	タイマーの位置、大きさ、透明度、色を変更します。
Recolours this meter independently; reset restores its retail colours.	このメーターの色を変更します。リセットで元に戻せます。
Moves, resizes and recolours this practice overlay.	練習用表示の位置、大きさ、色を変更します。
Shows a leading zero before single-digit QFT values.	QFTの1桁の値の前に0を表示します。
Sets colours for the timer digits and separators.	タイマーの数字と区切り記号の色を変更します。
Changes the colour streak behind the Sunshine timer.	タイマーの背景の色を変更します。
Changes the TIME or TEMPO label colour.	TIME・TEMPOラベルの色を変更します。
Shows or hides the TIME or TEMPO label.	TIME・TEMPOラベルの表示を切り替えます。
Changes this display's position, size and colours.	表示の位置、大きさ、色を変更します。
Moves and styles the achievement popup.	実績通知の位置や見た目を変更します。
Moves and styles Moonshine status messages.	Moonshine通知の位置や見た目を変更します。
Moves and styles the IL PB popup.	ILのPB通知の位置や見た目を変更します。
Changes this HUD element's layout or appearance.	HUDの配置や見た目を変更します。
New file in your personal library	自分のライブラリーに新規保存
Japanese	日本語
English	英語

# FOXTROT practice and SD workflow.
Input replay (experimental)	入力再生（試験機能）
Pause the game and choose the inputs for each frame.	ゲームを止めて、1コマずつ入力を決められます。
Move the camera with gameplay paused or running.	一時停止中も再開中もカメラを操作できます。
Repeat your own inputs from a savestate. Saved ghosts are in Ghosts.	ステートから自分の入力を再生します。ゴーストは別メニューです。
Cancel armed pause	一時停止の予約を取消
Resume gameplay	ゲームを再開
Pause gameplay	ゲームを一時停止
Advance one frame	1コマ進む
Movement speed	移動速度
Reverse sideways	左右移動を反転
Recenter camera	カメラを元に戻す
Reset view	元に戻す
Record from savestate	ステートから入力を録画
Replay recorded inputs	録画した入力を再生
Stop recording or replay	録画・再生を停止
%s   Recorded: %lu frames	%s   録画済み: %luコマ
Game: %s   Camera: %s	ゲーム: %s   カメラ: %s
New bind: %s	新しい操作: %s
Shortcut: %s   X: change bind	操作: %s   X: 割り当て変更
Hold your new buttons, then release to save. C-stick cancels.	使うボタンを押してから離すと保存します。Cスティックで取消。
Armed: will pause on Mario's first controllable frame. Pause cancels.	操作可能な最初のコマで停止します。もう一度押すと取消。
Camera is ON: Mario input is OFF. Turn camera off to jump or spin.	カメラ操作中です。ジャンプやスピンにはカメラ操作をオフにします。
Pause or resume. The timer stops while paused and the attempt is marked TAS.	一時停止・再開します。停止中はタイマーも止まり、TAS扱いになります。
Hold your inputs and tap Step. Release A before pressing it for another jump.	入力を押しながら1コマ進めます。次のジャンプ前にAを離してください。
On pauses live gameplay. Off leaves it paused; choose Resume when ready.	オンでゲームが停止します。オフにした後「ゲームを再開」で再開。
Resume closes free camera in gameplay. Ghost Watch can keep its camera.	ゲームを再開するとカメラ操作を終了します。ゴースト観賞中は継続可能。
C-stick left/right changes speed. Hold X while moving for a boost.	Cスティック左右で速度変更。移動中にXを押すと加速します。
Reverse only main-stick sideways movement. C-stick looking stays unchanged.	メインスティックの左右移動だけを反転します。
Restore the game's viewpoint. Main stick: move; C-stick: look; L/R: height.	視点を戻します。メイン: 移動、C: 向き、L・R: 高さ。
Save a state first. Record reloads it; play your sequence, then Stop.	先にステートを保存します。録画で読み直し、操作後に停止してください。
Reloads the same state and repeats your inputs. B or Start cancels.	同じステートから入力を再生します。B・Startで取消。
Stop keeps this session's recording. New savestates or scenes clear it.	停止後も入力は残ります。新しいステートや場面変更で消去されます。
Choose a memory state, or save and browse SD states.	メモリーのステートを選ぶか、SDに保存して一覧から選べます。
State cleared	ステートを消去しました
State changed or busy; try again	ステートが変更されたか処理中です。もう一度お試しください。
Savestates unavailable	ステートを利用できません
This state is empty	このステートは空です
Clear state %lu?	ステート %luを消去しますか？
Other states stay saved.	ほかのステートは残ります。
Clear save slot	保存先のステートを消去
SD states	SDステート
State %lu: %s	ステート %lu: %s
State %lu	ステート %lu
Saved	保存済み
Save writes to this slot. Load keeps its own selection.	この枠に保存します。読込元は別に選べます。
Choose a memory slot with A or C-stick; choose SD files on the SD page.	A・Cスティックでメモリー枠を選択。SDファイルはSD一覧で選びます。
Remove the memory state in the Save to slot, after confirmation.	確認後に「保存先」のメモリーステートを消去します。
Keep the game RNG with each state.	ステートと一緒にゲームの乱数状態を保存します。
Show a message when saving or loading a state.	ステート保存・読込時に通知を表示します。
Save states to SD and bring them back after restarting.	SDに保存したステートは再起動後も読み込めます。
Change the savestate message's position and appearance.	ステート通知の位置や見た目を変更します。
Finishing the SD transfer; please wait	SD転送を終了しています。お待ちください。
Save slot changed; choose the file again	保存先が変わりました。ファイルを選び直してください。
SD states need Moonshine Launcher	SDステートにはMoonshine Launcherが必要です。
Save a memory state first	先にメモリーへステートを保存してください。
State %lu - area %u episode %u	ステート %lu - エリア %u エピソード %u
No more SD states	これ以上SDステートはありません。
Enter a name first	先に名前を入力してください。
Save slot changed; start again	保存先が変わりました。操作をやり直してください。
Working...	処理中...
Keep the SD card connected until this finishes.	完了するまでSDカードを抜かないでください。
Finishing the SD update...	SDの更新を終了しています...
Name SD state	SDステートに名前を付ける
Rename SD state	SDステートの名前変更
(enter a name)	（名前を入力）
Delete this SD state?	このSDステートを削除しますか？
Import into state %lu?	ステート %luへ取り込みますか？
Removes this file from SD. Memory states stay saved.	SDのファイルを削除します。メモリーのステートは残ります。
Replaces the Save to memory slot. The SD file stays saved.	「保存先」の枠を上書きします。SDファイルは残ります。
Select that slot under Load from to use it.	使うには「読込元」でその枠を選んでください。
Save: %s   Load: %s	保存先: %s   読込元: %s
Save memory state to SD	メモリーのステートをSDへ保存
Name...	名前を付ける...
Refresh / first page	更新・最初のページ
Next page	次のページ
Load source	読込元
SD file	SDファイル
Save and Import write to this memory slot.	保存・取り込みはこのメモリー枠へ書き込みます。
Choose a memory slot here, or press Y on an SD file.	メモリー枠を選ぶか、SDファイルでYを押してください。
Name a new SD file from the Save to memory slot.	「保存先」のステートに名前を付けてSDへ保存します。
Y chooses this file for your Load bind; A copies it to memory.	Yで読込元に選択。Aでメモリー枠にコピーします。
SD files stay saved after the console restarts.	SDファイルは本体を再起動しても残ります。
State is busy; try again	ステートを処理中です。もう一度お試しください。

# FOXTROT settings, binds and FLUDD parts.
Disable Moonshine Warps	Moonshineワープを無効化
Stage session display	連続練習の表示
Freeze: moving platform	フリーズ：動く足場
Level splits	レベル内区間タイム
Streak auto-reset	連続成功の自動リセット
King Boo fruit cycle	ボステレサのフルーツ周期
Disable Petey tornado	ボスパックンの竜巻を無効化
Petey flight route	ボスパックンの飛行ルート
Crane speed	クレーンの速度
Fruit machine	フルーツスロット
Rollout display	起き上がりジャンプ表示
Dust display	着地からの入力間隔
Freeze: airgrab	フリーズ：空中で掴む
Gelato 6 red-coin fish	マンマ6の赤コインの魚
Blue-coin birds	青コインの鳥
Hidden fruit and coins	隠れたフルーツとコイン
Enemy hurtboxes	敵のダメージ判定
Hidden item labels	隠れたアイテムの名前
Hurtbox targets	判定を表示する対象
Ricco 2 checkpoints	リコ2のチェックポイント
Ghost inputs	ゴーストの入力
Split comparison	区間タイムの比較
Native timer: horizontal	タイマー：横位置
Native timer: vertical	タイマー：縦位置
Native timer: size	タイマー：大きさ
Free camera speed	フリーカメラの速度
Reverse camera sideways	カメラの左右移動を反転
Position: save	位置を保存
Position: load	位置を読込
Practice: pause or resume	練習：一時停止・再開
Practice: advance one frame	練習：1コマ進む
Free camera: toggle	フリーカメラ切り替え
Inputs: record from savestate	入力：ステートから録画
Inputs: replay recording	入力：録画を再生
Practice: stop	練習：停止
Savestate: cycle both slots	ステート：保存先・読込元を切り替え
Savestate: cycle save slot	ステート：保存先を切り替え
Savestate: cycle load slot	ステート：読込元を切り替え
Body paint	本体の塗装
Metal	金属
Straps	ベルト
Tank	タンク
Spray nozzle	スプレーノズル
Hover nozzle	ホバーノズル
Rocket nozzle	ロケットノズル
Turbo nozzle	ターボノズル
Sprayed water	噴射する水
Water highlights	水のハイライト

# Current navigation pages and section headings.
Practice tools	練習ツール
RNG controls	乱数の設定
Gameplay and QoL	ゲーム・便利機能
General gameplay	基本の設定
Skips and unlocks	スキップ・解放
World rules	ステージのルール
General patterns	共通パターン
Boss fights	ボス戦
Ricco Harbor	リコハーバー
Birds and fish (testing)	鳥・魚（試験機能）
HUD and displays	HUD・各種表示
Timer and splits	タイマー・区間タイム
QFT freezes	QFTのフリーズ
Movement displays	アクションの表示
Practice visuals	練習用の表示
Other HUD	その他のHUD
World and audio	ステージ・音楽
Stage Loader	ステージ連続練習
Button binds	ボタン割り当て
Moonshine guide	Moonshineガイド
Controls, recording limits and release information.	操作方法、録画の上限、リリース情報。
ROUTE SETUP	ルートの準備
COURSE RNG	コースの乱数
TESTING	試験機能
PRACTICE VISUALS	練習用の表示
GENERAL HUD	一般のHUD
WORLD AND AUDIO	ステージ・音楽
TIMING AND SPLITS	計測・区間タイム
HISTORY AND SPLITS	履歴・区間タイム
EVENTS AND BOSSES	イベント・ボス
MENU CONTROLS	メニュー操作
COUNTERS	カウンター
BOX GAME	箱壊しゲーム
LAYOUT AND STYLE	配置・見た目
PB STATUS	PBの記録条件
GAMEPLAY AND PRACTICE	ゲーム・練習
TIMING AND HUD	計測・HUD
LAYOUT AND CONTROLS	配置・操作
Everyday speed and convenience options.	普段の練習を便利にする設定です。
Skip downtime or unlock route requirements.	待ち時間を省略し、練習に必要な要素を解放します。
Change how stages and their objects behave.	ステージやオブジェクトの動作を変更します。
Speeds up dialogue and message boxes.	会話やメッセージの表示を速くします。
Custom text	カスタム文字
Save latest ghost	最新のゴーストを保存
BROWSE	閲覧
OPTIONS	オプション
Unlock popup and chime	実績達成の通知・効果音

# RC1 wording amendments supplied by the Japanese testers.
Gelato GBS	マンマ ヤシ抜け
Mode	モード切り替え
Run playlist	プレイリストの開始
Playlist entries	選択されたプレイリスト
Clear playlist	プレイリストの取り消し
Built-in preset	プリセットを構築
Load playlist	プレイリストの読込
Save playlist	プレイリストの保存
Value widths	値の幅
Field gap	隙間
Rollout display style	起き上がりジャンプ表示スタイル
Dust display style	着地からの入力間隔スタイル
Bianco 3 Full Reds	ビアンコ3 赤コイン(通し)
Bianco 6 Full Reds	ビアンコ6 赤コイン(通し)
Ricco 4 Full Reds	リコ4 赤コイン(通し)
Gelato 1 Full Reds	マンマ1 赤コイン(通し)
Pinna 2 Full Reds	ピンナ2 赤コイン(通し)
Pinna 6 Full Reds	ピンナ6 赤コイン(通し)
Sirena 2 Full Reds	シレナ2 赤コイン(通し)
Sirena 4 Full Reds	シレナ4 赤コイン(通し)
Noki 6 Full Reds	マーレ6 赤コイン(通し)
Pianta 5 Full Reds	モンテ5 赤コイン(通し)

# RC1 free-camera controls.
Look sensitivity	視点移動の感度
Hide all HUD	すべてのHUDを隠す
Free camera sensitivity	フリーカメラの感度
Hide HUD in free camera	フリーカメラ中はHUDを隠す
Change how quickly the C-stick turns the camera, from 0.25x to 4x.	Cスティックの視点移動速度を0.25倍から4倍まで変更します。
Hide game and Moonshine overlays while filming. You can still open this menu.	撮影中はゲームとMoonshineの表示を隠します。メニューは開けます。

# RC1 TAS checkpoints.
Record a TAS from a start state. Save checkpoints to try different inputs.	開始ステートからTASを記録します。途中のステートを保存して入力を試せます。
Continue editing checkpoint	途中のステートから編集を続ける
Keep your start state. Save other slots as checkpoints; loading rewinds the inputs too.	開始ステートを残し、別の枠に途中経過を保存します。読込で入力も巻き戻ります。
Stop keeps the take. Export its start state and latest checkpoint to SD to keep both.	停止しても入力は残ります。開始と最新のステートをSDに保存してください。
Continue a loaded TAS checkpoint. Gameplay stays paused until you Step or Resume.	読み込んだTASの編集を続けます。コマ送りか再開を選ぶまで停止します。

# TAS project workflow.
Pause / Resume	一時停止 / 再開
Memory %lu: area %u, episode %u	メモリ%lu：エリア%u・エピソード%u
C-stick: choose   A: select   B: cancel	Cスティック：選択　A：決定　B：中止
A: replace this state   B: keep it	A：置き換える　B：残す
%lu frames	%luコマ
Please wait until the current action finishes.	現在の操作が終わるまでお待ちください。
Delete this TAS from SD?	このTASをSDから削除しますか？
Its beginning and checkpoint files will be deleted.	開始地点と中間地点のファイルを削除します。
A: delete SD project   B: keep. Memory checkpoints stay.	A：SDから削除　B：残す。メモリの中間地点は残ります。
A: open   Start: rename   X: delete   B: back	A：開く　Start：名前変更　X：削除　B：戻る
TAS renamed on SD.	SD上のTASの名前を変更しました。
